iter	Passed	Remaining
0	106	106692
1	201	100489
2	295	98339
3	393	98021
4	489	97402
5	581	96377
6	670	95136
7	759	94122
8	845	93109
9	939	92975
10	1032	92848
11	1127	92811
12	1215	92272
13	1306	92043
14	1404	92259
15	1496	92012
16	1585	91657
17	1674	91336
18	1767	91272
19	1862	91281
20	1955	91165
21	2041	90758
22	2129	90445
23	2218	90234
24	2310	90126
25	2403	90047
26	2498	90040
27	2583	89683
28	2672	89485
29	2760	89249
30	2850	89086
31	2939	88913
32	3029	88779
33	3120	88671
34	3211	88548
35	3297	88307
36	3387	88173
37	3473	87938
38	3562	87790
39	3653	87676
40	3745	87609
41	3835	87494
42	3922	87293
43	4008	87093
44	4095	86919
45	4191	86924
46	4278	86743
47	4365	86581
48	4452	86409
49	4546	86379
50	4638	86312
51	4724	86123
52	4811	85979
53	4899	85829
54	4989	85729
55	5077	85598
56	5164	85436
57	5250	85273
58	5345	85249
59	5430	85073
60	5515	84896
61	5602	84765
62	5689	84612
63	5778	84516
64	5870	84438
65	5956	84295
66	6043	84163
67	6132	84058
68	6221	83944
69	6310	83840
70	6396	83695
71	6484	83579
72	6568	83416
73	6659	83330
74	6744	83177
75	6829	83033
76	6920	82959
77	7015	82932
78	7103	82817
79	7197	82775
80	7288	82694
81	7379	82616
82	7469	82527
83	7565	82499
84	7652	82379
85	7737	82236
86	7824	82108
87	7921	82092
88	8007	81959
89	8092	81820
90	8178	81695
91	8269	81615
92	8360	81541
93	8446	81406
94	8530	81264
95	8619	81162
96	8704	81033
97	8791	80917
98	8880	80823
99	8967	80706
100	9052	80576
101	9140	80469
102	9230	80384
103	9315	80252
104	9401	80134
105	9485	80001
106	9570	79874
107	9658	79774
108	9749	79694
109	9837	79591
110	9923	79473
111	10010	79367
112	10098	79266
113	10183	79148
114	10274	79071
115	10361	78958
116	10448	78854
117	10535	78751
118	10620	78628
119	10708	78529
120	10793	78406
121	10880	78306
122	10969	78216
123	11061	78141
124	11147	78034
125	11236	77938
126	11322	77829
127	11419	77795
128	11518	77775
129	11605	77664
130	11690	77550
131	11775	77430
132	11860	77316
133	11947	77210
134	12037	77128
135	12130	77067
136	12230	77043
137	12324	76983
138	12409	76868
139	12501	76793
140	12585	76675
141	12677	76602
142	12763	76490
143	12851	76396
144	12942	76316
145	13036	76252
146	13128	76183
147	13217	76089
148	13304	75985
149	13391	75886
150	13478	75780
151	13561	75661
152	13648	75559
153	13733	75445
154	13819	75338
155	13903	75222
156	13995	75145
157	14079	75029
158	14168	74939
159	14255	74841
160	14343	74746
161	14433	74660
162	14522	74571
163	14607	74463
164	14696	74371
165	14781	74264
166	14870	74174
167	14960	74091
168	15046	73984
169	15133	73886
170	15219	73784
171	15305	73677
172	15390	73572
173	15476	73469
174	15562	73367
175	15647	73259
176	15733	73154
177	15819	73055
178	15905	72953
179	15992	72853
180	16079	72759
181	16171	72681
182	16261	72597
183	16351	72515
184	16437	72412
185	16522	72306
186	16613	72228
187	16698	72123
188	16782	72013
189	16868	71914
190	16953	71810
191	17039	71708
192	17126	71610
193	17213	71517
194	17300	71418
195	17386	71319
196	17471	71215
197	17555	71109
198	17641	71007
199	17728	70915
200	17821	70842
201	17907	70743
202	17993	70642
203	18080	70547
204	18167	70455
205	18251	70348
206	18336	70244
207	18421	70141
208	18507	70045
209	18593	69945
210	18678	69844
211	18765	69752
212	18853	69660
213	18938	69559
214	19023	69457
215	19109	69358
216	19193	69255
217	19278	69154
218	19366	69066
219	19451	68965
220	19537	68866
221	19621	68762
222	19705	68661
223	19790	68559
224	19875	68458
225	19959	68355
226	20044	68255
227	20129	68156
228	20216	68065
229	20300	67961
230	20387	67868
231	20471	67768
232	20561	67685
233	20648	67594
234	20737	67506
235	20823	67411
236	20906	67306
237	20990	67204
238	21072	67097
239	21160	67007
240	21243	66904
241	21330	66811
242	21415	66715
243	21501	66618
244	21587	66525
245	21673	66431
246	21760	66337
247	21846	66245
248	21933	66154
249	22018	66054
250	22104	65960
251	22188	65861
252	22277	65775
253	22364	65684
254	22452	65597
255	22536	65497
256	22624	65408
257	22708	65308
258	22796	65220
259	22882	65127
260	22966	65028
261	23049	64926
262	23131	64821
263	23216	64723
264	23301	64629
265	23390	64542
266	23475	64447
267	23563	64359
268	23649	64266
269	23734	64172
270	23822	64083
271	23908	63990
272	23996	63902
273	24082	63810
274	24169	63718
275	24257	63631
276	24341	63534
277	24426	63439
278	24516	63356
279	24603	63266
280	24688	63170
281	24778	63087
282	24862	62991
283	24949	62900
284	25035	62808
285	25121	62714
286	25203	62613
287	25296	62537
288	25381	62442
289	25469	62355
290	25556	62266
291	25641	62171
292	25727	62079
293	25812	61986
294	25897	61890
295	25985	61803
296	26079	61729
297	26164	61635
298	26252	61547
299	26337	61454
300	26422	61360
301	26506	61262
302	26596	61181
303	26687	61100
304	26770	61002
305	26856	60909
306	26940	60814
307	27024	60718
308	27108	60620
309	27192	60525
310	27277	60432
311	27364	60342
312	27448	60246
313	27537	60160
314	27622	60068
315	27706	59973
316	27791	59878
317	27875	59783
318	27963	59696
319	28045	59597
320	28132	59507
321	28222	59424
322	28308	59333
323	28394	59242
324	28477	59146
325	28565	59059
326	28650	58965
327	28735	58872
328	28818	58776
329	28902	58680
330	28990	58594
331	29078	58508
332	29163	58415
333	29249	58323
334	29337	58238
335	29425	58150
336	29514	58066
337	29601	57977
338	29690	57891
339	29776	57802
340	29862	57711
341	29952	57626
342	30035	57531
343	30122	57442
344	30218	57370
345	30305	57282
346	30389	57189
347	30475	57096
348	30560	57004
349	30645	56912
350	30732	56825
351	30815	56729
352	30902	56639
353	30985	56544
354	31071	56454
355	31156	56361
356	31243	56274
357	31332	56188
358	31412	56087
359	31494	55989
360	31581	55901
361	31664	55806
362	31747	55710
363	31833	55621
364	31919	55530
365	31999	55431
366	32086	55342
367	32173	55254
368	32259	55164
369	32346	55076
370	32433	54988
371	32518	54896
372	32604	54807
373	32690	54716
374	32777	54628
375	32863	54539
376	32949	54449
377	33035	54360
378	33120	54267
379	33201	54171
380	33284	54076
381	33367	53981
382	33452	53890
383	33536	53798
384	33623	53710
385	33708	53619
386	33792	53527
387	33878	53437
388	33961	53342
389	34045	53250
390	34131	53160
391	34222	53079
392	34309	52991
393	34394	52901
394	34480	52812
395	34564	52719
396	34650	52629
397	34734	52538
398	34817	52444
399	34901	52352
400	34986	52262
401	35070	52169
402	35151	52072
403	35234	51980
404	35322	51893
405	35407	51802
406	35492	51713
407	35574	51618
408	35660	51529
409	35746	51439
410	35831	51349
411	35917	51260
412	36001	51169
413	36093	51089
414	36175	50994
415	36261	50905
416	36348	50818
417	36432	50726
418	36518	50637
419	36603	50547
420	36687	50456
421	36770	50363
422	36854	50271
423	36936	50177
424	37024	50091
425	37104	49995
426	37187	49902
427	37273	49813
428	37358	49724
429	37446	49637
430	37528	49544
431	37615	49457
432	37702	49370
433	37788	49281
434	37872	49190
435	37957	49100
436	38041	49010
437	38125	48919
438	38212	48832
439	38294	48738
440	38378	48647
441	38463	48557
442	38547	48467
443	38634	48380
444	38720	48291
445	38805	48202
446	38896	48120
447	38983	48033
448	39069	47945
449	39155	47856
450	39239	47765
451	39330	47684
452	39413	47591
453	39496	47500
454	39579	47408
455	39667	47322
456	39749	47230
457	39836	47142
458	39925	47058
459	40011	46969
460	40095	46879
461	40178	46788
462	40267	46703
463	40354	46615
464	40435	46523
465	40517	46429
466	40604	46342
467	40691	46256
468	40773	46163
469	40865	46082
470	40958	46001
471	41041	45910
472	41128	45823
473	41214	45735
474	41298	45645
475	41384	45557
476	41470	45469
477	41552	45377
478	41637	45288
479	41722	45199
480	41811	45114
481	41896	45025
482	41981	44936
483	42063	44844
484	42147	44755
485	42234	44668
486	42325	44585
487	42411	44497
488	42495	44407
489	42580	44318
490	42660	44224
491	42741	44131
492	42826	44042
493	42913	43955
494	42995	43864
495	43082	43777
496	43164	43685
497	43248	43595
498	43334	43507
499	43418	43418
500	43501	43327
501	43586	43239
502	43668	43147
503	43750	43055
504	43835	42967
505	43919	42878
506	44002	42787
507	44086	42697
508	44173	42610
509	44258	42523
510	44347	42437
511	44430	42347
512	44516	42260
513	44603	42173
514	44689	42086
515	44773	41997
516	44857	41907
517	44942	41819
518	45028	41731
519	45111	41640
520	45191	41548
521	45276	41460
522	45364	41374
523	45449	41285
524	45533	41197
525	45616	41107
526	45699	41017
527	45782	40926
528	45864	40835
529	45951	40749
530	46038	40662
531	46121	40573
532	46206	40484
533	46288	40393
534	46372	40304
535	46457	40217
536	46539	40126
537	46625	40038
538	46708	39949
539	46794	39861
540	46876	39770
541	46962	39684
542	47045	39594
543	47127	39503
544	47212	39416
545	47299	39329
546	47386	39243
547	47469	39154
548	47550	39062
549	47634	38973
550	47720	38886
551	47808	38801
552	47890	38710
553	47972	38620
554	48056	38532
555	48147	38449
556	48231	38360
557	48318	38273
558	48400	38183
559	48485	38095
560	48573	38010
561	48655	37920
562	48742	37834
563	48826	37745
564	48910	37656
565	48994	37568
566	49076	37478
567	49157	37387
568	49243	37300
569	49330	37214
570	49416	37127
571	49502	37040
572	49596	36959
573	49681	36871
574	49766	36783
575	49852	36696
576	49935	36607
577	50019	36519
578	50104	36431
579	50189	36343
580	50276	36258
581	50360	36169
582	50445	36082
583	50532	35995
584	50616	35907
585	50698	35818
586	50783	35730
587	50867	35641
588	50953	35555
589	51037	35466
590	51121	35378
591	51203	35288
592	51289	35201
593	51375	35115
594	51460	35027
595	51546	34941
596	51629	34851
597	51713	34763
598	51800	34677
599	51885	34590
600	51971	34503
601	52053	34413
602	52137	34326
603	52220	34236
604	52305	34150
605	52393	34064
606	52478	33977
607	52562	33889
608	52644	33799
609	52725	33709
610	52809	33621
611	52892	33533
612	52977	33446
613	53066	33360
614	53151	33273
615	53237	33187
616	53322	33100
617	53407	33012
618	53493	32925
619	53581	32840
620	53663	32750
621	53749	32664
622	53837	32579
623	53922	32491
624	54004	32402
625	54089	32315
626	54172	32226
627	54256	32139
628	54339	32050
629	54427	31965
630	54512	31877
631	54596	31790
632	54679	31701
633	54763	31614
634	54845	31525
635	54930	31438
636	55013	31349
637	55095	31261
638	55178	31173
639	55261	31084
640	55346	30997
641	55432	30911
642	55516	30823
643	55600	30735
644	55687	30649
645	55781	30567
646	55867	30481
647	55958	30397
648	56043	30309
649	56128	30222
650	56213	30136
651	56299	30049
652	56386	29963
653	56471	29876
654	56558	29790
655	56641	29702
656	56730	29617
657	56819	29532
658	56903	29444
659	56989	29358
660	57080	29274
661	57169	29189
662	57255	29102
663	57337	29014
664	57422	28926
665	57508	28840
666	57591	28752
667	57679	28667
668	57764	28580
669	57850	28493
670	57934	28406
671	58015	28316
672	58101	28230
673	58186	28143
674	58269	28055
675	58353	27968
676	58436	27880
677	58519	27792
678	58604	27705
679	58696	27621
680	58778	27533
681	58865	27447
682	58952	27361
683	59034	27273
684	59117	27185
685	59200	27097
686	59285	27010
687	59367	26922
688	59452	26835
689	59535	26747
690	59618	26659
691	59702	26572
692	59783	26483
693	59867	26396
694	59947	26307
695	60032	26221
696	60116	26133
697	60198	26045
698	60283	25959
699	60377	25875
700	60460	25788
701	60550	25703
702	60635	25617
703	60721	25530
704	60807	25444
705	60892	25357
706	60982	25272
707	61070	25187
708	61152	25099
709	61238	25012
710	61323	24925
711	61411	24840
712	61495	24753
713	61579	24666
714	61667	24580
715	61750	24493
716	61837	24407
717	61923	24321
718	62005	24233
719	62088	24145
720	62173	24058
721	62260	23972
722	62346	23886
723	62437	23801
724	62528	23717
725	62620	23633
726	62709	23548
727	62796	23462
728	62887	23377
729	62975	23292
730	63066	23207
731	63158	23123
732	63241	23036
733	63334	22952
734	63423	22867
735	63513	22781
736	63599	22695
737	63689	22610
738	63775	22524
739	63868	22440
740	63959	22355
741	64048	22270
742	64144	22187
743	64236	22102
744	64334	22020
745	64419	21933
746	64506	21847
747	64604	21765
748	64691	21678
749	64779	21593
750	64866	21507
751	64948	21419
752	65032	21331
753	65113	21243
754	65198	21157
755	65285	21070
756	65368	20983
757	65453	20896
758	65536	20809
759	65625	20723
760	65708	20636
761	65791	20548
762	65876	20462
763	65957	20374
764	66038	20286
765	66123	20199
766	66206	20112
767	66291	20025
768	66376	19938
769	66457	19850
770	66542	19764
771	66628	19677
772	66710	19590
773	66793	19502
774	66880	19416
775	66961	19329
776	67046	19242
777	67131	19155
778	67218	19069
779	67304	18983
780	67388	18896
781	67476	18810
782	67564	18724
783	67651	18638
784	67738	18552
785	67824	18466
786	67906	18378
787	67991	18292
788	68075	18205
789	68158	18118
790	68242	18031
791	68327	17944
792	68407	17856
793	68492	17770
794	68574	17682
795	68659	17596
796	68740	17508
797	68828	17422
798	68910	17335
799	68991	17247
800	69076	17161
801	69159	17074
802	69246	16988
803	69331	16901
804	69412	16814
805	69497	16727
806	69576	16639
807	69663	16553
808	69746	16466
809	69833	16380
810	69917	16294
811	70005	16208
812	70087	16121
813	70172	16034
814	70266	15950
815	70350	15863
816	70435	15776
817	70517	15689
818	70601	15602
819	70691	15517
820	70777	15431
821	70860	15344
822	70947	15258
823	71030	15171
824	71114	15084
